,index,summary,sentiment,sentiment_writing,Article_without_stopwords,After_lemmatization,pos_tags,senti_score,sentiment_class_swn
10,3467,"The article discusses how the South Sudan Democratic Army (SSDA) launched Operation Ending Corruption and captured various locations, including Malakal, the capital city of Upper Nile State, and Fashoda County. They captured equipment and defeated a significant number of SPLA forces. The SSDA forces called for the evacuation of UN personnel and NGOs from Malakal, and urged civilians in Bor and Bentiu to leave as well. The article suggests that many SPLA soldiers are joining the ranks of the revolutionary forces to fight against corruption.",0,0,article discusses south sudan democratic army ssda launched operation ending corruption captured various locations including malakal capital city upper nile state fashoda county captured equipment defeatedsignificant number spla forces ssda forces called evacuation un personnel ngos malakal urged civilians bor bentiu leave well article suggests many spla soldiers joining ranks revolutionary forces fight corruption ,discus south sudan democratic army ssda launched operation ending corruption captured various location including malakal capital city upper nile state fashoda county captured equipment defeatedsignificant number spla force ssda force called evacuation personnel ngo malakal urged civilian bor bentiu leave well article suggests many spla soldier joining rank revolutionary force fight corruption ,"[('discus', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('democratic', 'JJ'), ('army', 'NN'), ('ssda', 'NN'), ('launched', 'VBN'), ('operation', 'NN'), ('ending', 'VBG'), ('corruption', 'NN'), ('captured', 'VBD'), ('various', 'JJ'), ('location', 'NN'), ('including', 'VBG'), ('malakal', 'JJ'), ('capital', 'NN'), ('city', 'NN'), ('upper', 'JJ'), ('nile', 'JJ'), ('state', 'NN'), ('fashoda', 'NNS'), ('county', 'NN'), ('captured', 'VBN'), ('equipment', 'NN'), ('defeatedsignificant', 'NN'), ('number', 'NN'), ('spla', 'JJ'), ('force', 'NN'), ('ssda', 'NN'), ('force', 'NN'), ('called', 'VBN'), ('evacuation', 'NN'), ('personnel', 'NNS'), ('ngo', 'JJ'), ('malakal', 'NNS'), ('urged', 'VBD'), ('civilian', 'JJ'), ('bor', 'NN'), ('bentiu', 'NN'), ('leave', 'VBP'), ('well', 'RB'), ('article', 'NN'), ('suggests', 'VBZ'), ('many', 'JJ'), ('spla', 'NNS'), ('soldier', 'RBR'), ('joining', 'VBG'), ('rank', 'NN'), ('revolutionary', 'JJ'), ('force', 'NN'), ('fight', 'NN'), ('corruption', 'NN')]",1.125,Positive
11,3531,"The article discusses the United Nations Security Council's adoption of a resolution calling for north and south Sudan to return to negotiations and end hostilities. The African Union Peace and Security Council requested UNSC's intervention and issued a communiqué outlining issues that Khartoum and Juba must reach a deal on post-independence including oil, border demarcation, citizenship, and Abyei. The article also mentions Sudan's opposition to UNSC intervention, Russia's support for the resolution, and China and Russia's resistance to reference Article 41 during negotiations. In addition, it notes that South Sudan will pull out troops from Abyei region, which the AU commended.",0,0,article discusses united nations security counciladoption ofresolution calling north south sudan return negotiations end hostilities african union peace security council requested unscintervention issuedcommuniqué outlining issues khartoum juba must reachdeal post independence including oil border demarcation citizenship abyei article also mentions sudanopposition unsc intervention russiasupport resolution china russiaresistance reference article 41 negotiations addition notes south sudan pull troops abyei region au commended ,discus united nation security counciladoption ofresolution calling north south sudan return negotiation end hostility african union peace security council requested unscintervention issuedcommuniqué outlining issue khartoum juba must reachdeal post independence including oil border demarcation citizenship abyei article also mention sudanopposition unsc intervention russiasupport resolution china russiaresistance reference article negotiation addition note south sudan pull troop abyei region commended ,"[('discus', 'NN'), ('united', 'JJ'), ('nation', 'NN'), ('security', 'NN'), ('counciladoption', 'NN'), ('ofresolution', 'NN'), ('calling', 'VBG'), ('north', 'JJ'), ('south', 'JJ'), ('sudan', 'JJ'), ('return', 'NN'), ('negotiation', 'JJ'), ('end', 'NN'), ('hostility', 'NN'), ('african', 'JJ'), ('union', 'NN'), ('peace', 'NN'), ('security', 'NN'), ('council', 'NN'), ('requested', 'VBN'), ('unscintervention', 'NN'), ('issuedcommuniqué', 'NN'), ('outlining', 'VBG'), ('issue', 'NN'), ('khartoum', 'FW'), ('juba', 'NN'), ('must', 'MD'), ('reachdeal', 'VB'), ('post', 'NN'), ('independence', 'NN'), ('including', 'VBG'), ('oil', 'NN'), ('border', 'NN'), ('demarcation', 'NN'), ('citizenship', 'NN'), ('abyei', 'NN'), ('article', 'NN'), ('also', 'RB'), ('mention', 'NN'), ('sudanopposition', 'NN'), ('unsc', 'JJ'), ('intervention', 'NN'), ('russiasupport', 'NN'), ('resolution', 'NN'), ('china', 'NN'), ('russiaresistance', 'NN'), ('reference', 'NN'), ('article', 'NN'), ('negotiation', 'NN'), ('addition', 'NN'), ('note', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('pull', 'NN'), ('troop', 'NN'), ('abyei', 'JJ'), ('region', 'NN'), ('commended', 'VBD')]",0.25,Positive
12,3541,"The article discusses a relief aircraft belonging to the United Nations World Food Programme crashing while landing at Yambio airstrip in Western Equatoria State, South Sudan. Two passengers and a pilot were injured, while eight other passengers including a former minister of transport and bridges came out safely. The incident occurred on a WFP programme plane 5Y-NGO, and the pilots had been landing at Yambio Airport for a long time. The injuries were described as minor, and some Ugandan nationals who were on board were taken to Nzara Camp belonging to Uganda People's Defence Forces (UPDF) for treatment. This is the second time a plane crash has occurred in Yambio Air Strip after the Cargo Plane crashed in 1995.",-1,0,article discussesrelief aircraft belonging united nations world food programme crashing landing yambio airstrip western equatoria state south sudan two passengers andpilot injured eight passengers includingformer minister transport bridges came safely incident occurred onwfp programme plane 5y ngo pilots landing yambio airport forlong time injuries described minor ugandan nationals board taken nzara camp belonging uganda peopledefence forces updf treatment second timeplane crash occurred yambio air strip cargo plane crashed 1995 ,discussesrelief aircraft belonging united nation world food programme crashing landing yambio airstrip western equatoria state south sudan two passenger andpilot injured eight passenger includingformer minister transport bridge came safely incident occurred onwfp programme plane ngo pilot landing yambio airport forlong time injury described minor ugandan national board taken nzara camp belonging uganda peopledefence force updf treatment second timeplane crash occurred yambio air strip cargo plane crashed ,"[('discussesrelief', 'NN'), ('aircraft', 'NN'), ('belonging', 'VBG'), ('united', 'JJ'), ('nation', 'NN'), ('world', 'NN'), ('food', 'NN'), ('programme', 'NN'), ('crashing', 'VBG'), ('landing', 'VBG'), ('yambio', 'JJ'), ('airstrip', 'NN'), ('western', 'JJ'), ('equatoria', 'NN'), ('state', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('two', 'CD'), ('passenger', 'NN'), ('andpilot', 'NN'), ('injured', 'JJ'), ('eight', 'CD'), ('passenger', 'NN'), ('includingformer', 'NN'), ('minister', 'NN'), ('transport', 'NN'), ('bridge', 'NN'), ('came', 'VBD'), ('safely', 'RB'), ('incident', 'JJ'), ('occurred', 'VBD'), ('onwfp', 'JJ'), ('programme', 'NN'), ('plane', 'NN'), ('ngo', 'NN'), ('pilot', 'NN'), ('landing', 'VBG'), ('yambio', 'JJ'), ('airport', 'NN'), ('forlong', 'JJ'), ('time', 'NN'), ('injury', 'NN'), ('described', 'VBD'), ('minor', 'JJ'), ('ugandan', 'JJ'), ('national', 'JJ'), ('board', 'NN'), ('taken', 'VBN'), ('nzara', 'RB'), ('camp', 'JJ'), ('belonging', 'VBG'), ('uganda', 'JJ'), ('peopledefence', 'NN'), ('force', 'NN'), ('updf', 'JJ'), ('treatment', 'NN'), ('second', 'JJ'), ('timeplane', 'NN'), ('crash', 'NN'), ('occurred', 'VBD'), ('yambio', 'NNP'), ('air', 'NN'), ('strip', 'NN'), ('cargo', 'NN'), ('plane', 'NN'), ('crashed', 'VBD')]",-3.0,Negative
13,3684,"The article discusses how South Sudan is complying with the United Nations Security Council resolution by withdrawing a significant number of police forces from the contested border region of Abyei. The resolution also demands that Juba and Khartoum return to the negotiating table to resolve a number of issues that arose from South Sudan's independence last year. The event marking the redeployment of the 700 police service out of Abyei was attended by the commander of the United Nations Interim Security Force for Abyei, General Tadese Werede Tasfey, and Inspector General of South Sudan Police Service, General Acuil Tito.",0,0,article discusses south sudan complying united nations security council resolution withdrawingsignificant number police forces contested border region abyei resolution also demands juba khartoum return negotiating table resolvenumber issues arose south sudanindependence last year event marking redeployment 700 police service abyei attended commander united nations interim security force abyei general tadese werede tasfey inspector general south sudan police service general acuil tito ,discus south sudan complying united nation security council resolution withdrawingsignificant number police force contested border region abyei resolution also demand juba khartoum return negotiating table resolvenumber issue arose south sudanindependence last year event marking redeployment police service abyei attended commander united nation interim security force abyei general tadese werede tasfey inspector general south sudan police service general acuil tito ,"[('discus', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('complying', 'VBG'), ('united', 'JJ'), ('nation', 'NN'), ('security', 'NN'), ('council', 'NN'), ('resolution', 'NN'), ('withdrawingsignificant', 'JJ'), ('number', 'NN'), ('police', 'NN'), ('force', 'NN'), ('contested', 'VBD'), ('border', 'JJR'), ('region', 'NN'), ('abyei', 'IN'), ('resolution', 'NN'), ('also', 'RB'), ('demand', 'NN'), ('juba', 'NN'), ('khartoum', 'VBP'), ('return', 'NN'), ('negotiating', 'VBG'), ('table', 'JJ'), ('resolvenumber', 'JJ'), ('issue', 'NN'), ('arose', 'VBD'), ('south', 'JJ'), ('sudanindependence', 'NN'), ('last', 'JJ'), ('year', 'NN'), ('event', 'NN'), ('marking', 'VBG'), ('redeployment', 'JJ'), ('police', 'NN'), ('service', 'NN'), ('abyei', 'NN'), ('attended', 'VBD'), ('commander', 'NN'), ('united', 'JJ'), ('nation', 'NN'), ('interim', 'JJ'), ('security', 'NN'), ('force', 'NN'), ('abyei', 'NN'), ('general', 'JJ'), ('tadese', 'JJ'), ('werede', 'NN'), ('tasfey', 'NN'), ('inspector', 'NN'), ('general', 'JJ'), ('south', 'JJ'), ('sudan', 'JJ'), ('police', 'NN'), ('service', 'NN'), ('general', 'JJ'), ('acuil', 'NN'), ('tito', 'NN')]",0.25,Positive
14,4012,"The article discusses the successful election of the executive for the Association of South Sudanese Students in Kenya, which took place at the Six Eighty Hotel in Nairobi. The association aims to coordinate issues concerning South Sudanese students in Kenya, such as student support funds from the government.",1,0,article discusses successful election executive association south sudanese students kenya took place six eighty hotel nairobi association aims coordinate issues concerning south sudanese students kenya student support funds government ,discus successful election executive association south sudanese student kenya took place six eighty hotel nairobi association aim coordinate issue concerning south sudanese student kenya student support fund government ,"[('discus', 'RB'), ('successful', 'JJ'), ('election', 'NN'), ('executive', 'NN'), ('association', 'NN'), ('south', 'VBZ'), ('sudanese', 'JJ'), ('student', 'NN'), ('kenya', 'NN'), ('took', 'VBD'), ('place', 'NN'), ('six', 'CD'), ('eighty', 'JJ'), ('hotel', 'NN'), ('nairobi', 'DT'), ('association', 'NN'), ('aim', 'NN'), ('coordinate', 'NN'), ('issue', 'NN'), ('concerning', 'VBG'), ('south', 'JJ'), ('sudanese', 'JJ'), ('student', 'NN'), ('kenya', 'NN'), ('student', 'NN'), ('support', 'NN'), ('fund', 'NN'), ('government', 'NN')]",1.0,Positive
15,4354,"The article discusses the challenges facing South Sudan, including hostilities with Sudan, internal conflicts, a failing economy due to a halt in oil production, rampant corruption, poor healthcare and education, and food insecurity that has led to nearly half of the population being food insecure.",-1,0,article discusses challenges facing south sudan including hostilities sudan internal conflictsfailing economy due tohalt oil production rampant corruption poor healthcare education food insecurity led nearly half population food insecure ,discus challenge facing south sudan including hostility sudan internal conflictsfailing economy due tohalt oil production rampant corruption poor healthcare education food insecurity led nearly half population food insecure ,"[('discus', 'NN'), ('challenge', 'NN'), ('facing', 'VBG'), ('south', 'JJ'), ('sudan', 'JJ'), ('including', 'VBG'), ('hostility', 'NN'), ('sudan', 'NN'), ('internal', 'JJ'), ('conflictsfailing', 'VBG'), ('economy', 'NN'), ('due', 'JJ'), ('tohalt', 'JJ'), ('oil', 'NN'), ('production', 'NN'), ('rampant', 'NN'), ('corruption', 'NN'), ('poor', 'JJ'), ('healthcare', 'JJ'), ('education', 'NN'), ('food', 'NN'), ('insecurity', 'NN'), ('led', 'VBD'), ('nearly', 'RB'), ('half', 'JJ'), ('population', 'NN'), ('food', 'NN'), ('insecure', 'NN')]",-1.0,Negative
16,4760,"The article discusses the South Sudan Council of Ministers decision to name Atong Demach, Miss World Africa 2012, as South Sudan ambassador for culture and beauty for the year 2013. The council also resolved to reward her for her efforts. The Minister also congratulated South Sudan Guor Marial for his achievement in the sports sector during the 2012 London Olympics. Additionally, the council authorized the Minister of Electricity and Dams to proceed with a project to supply enough electricity for South Sudan, which will be discussed between the Ministry of Finance, the Ministry of Justice and the Ministry of Electricity and Dams.",1,0,article discusses south sudan council ministers decision name atong demach miss world africa 2012 south sudan ambassador culture beauty year 2013 council also resolved reward efforts minister also congratulated south sudan guor marial achievement sports sector 2012 london olympics additionally council authorized minister electricity dams proceed withproject supply enough electricity south sudan discussed ministry finance ministry justice ministry electricity dams ,discus south sudan council minister decision name atong demach miss world africa south sudan ambassador culture beauty year council also resolved reward effort minister also congratulated south sudan guor marial achievement sport sector london olympics additionally council authorized minister electricity dam proceed withproject supply enough electricity south sudan discussed ministry finance ministry justice ministry electricity dam ,"[('discus', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('council', 'NN'), ('minister', 'NN'), ('decision', 'NN'), ('name', 'NN'), ('atong', 'RB'), ('demach', 'RB'), ('miss', 'JJ'), ('world', 'NN'), ('africa', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('ambassador', 'JJ'), ('culture', 'NN'), ('beauty', 'NN'), ('year', 'NN'), ('council', 'NN'), ('also', 'RB'), ('resolved', 'VBD'), ('reward', 'JJ'), ('effort', 'NN'), ('minister', 'NN'), ('also', 'RB'), ('congratulated', 'VBD'), ('south', 'JJ'), ('sudan', 'JJ'), ('guor', 'NN'), ('marial', 'JJ'), ('achievement', 'NN'), ('sport', 'NN'), ('sector', 'NN'), ('london', 'VBD'), ('olympics', 'NNS'), ('additionally', 'RB'), ('council', 'VBP'), ('authorized', 'JJ'), ('minister', 'NN'), ('electricity', 'NN'), ('dam', 'VBP'), ('proceed', 'VBN'), ('withproject', 'JJ'), ('supply', 'NN'), ('enough', 'JJ'), ('electricity', 'NN'), ('south', 'RB'), ('sudan', 'JJ'), ('discussed', 'VBD'), ('ministry', 'NN'), ('finance', 'NN'), ('ministry', 'NN'), ('justice', 'NN'), ('ministry', 'NN'), ('electricity', 'NN'), ('dam', 'NN')]",0.5,Positive
17,5199,The article discusses the meeting between the South Sudan's ambassador to Cairo and the Prime Minister Dr. Hisham Qandil to discuss bilateral relations and ways to activate and overcome the obstacles that prevent the growth of economic and bilateral trade relations. They also discussed the arrangements for the forthcoming visit of the Prime Minister to Juba.,0,0,article discusses meeting south sudanambassador cairo prime minister dr hisham qandil discuss bilateral relations ways activate overcome obstacles prevent growth economic bilateral trade relations also discussed arrangements forthcoming visit prime minister juba ,discus meeting south sudanambassador cairo prime minister hisham qandil discus bilateral relation way activate overcome obstacle prevent growth economic bilateral trade relation also discussed arrangement forthcoming visit prime minister juba ,"[('discus', 'NN'), ('meeting', 'NN'), ('south', 'JJ'), ('sudanambassador', 'NN'), ('cairo', 'NN'), ('prime', 'JJ'), ('minister', 'NN'), ('hisham', 'NN'), ('qandil', 'NN'), ('discus', 'VBZ'), ('bilateral', 'JJ'), ('relation', 'NN'), ('way', 'NN'), ('activate', 'VBP'), ('overcome', 'JJ'), ('obstacle', 'NN'), ('prevent', 'NN'), ('growth', 'NN'), ('economic', 'JJ'), ('bilateral', 'JJ'), ('trade', 'NN'), ('relation', 'NN'), ('also', 'RB'), ('discussed', 'VBD'), ('arrangement', 'NN'), ('forthcoming', 'VBG'), ('visit', 'NN'), ('prime', 'JJ'), ('minister', 'NN'), ('juba', 'NN')]",0.0,Neutral
18,5267,"The article discusses the expulsion of a human rights officer working with the UN Mission in South Sudan. The officer is currently in Entebbe, Uganda while awaiting a decision on her status. The UN human rights chief, Navi Pillay, is urging the Government of South Sudan to reverse the expulsion order, stating that it is in breach of international agreements and that no evidence of serious misconduct has been provided. The South Sudanese authorities accused the staff member of misinforming the international community about human rights abuses, but Pillay called this accusation 'utterly unsatisfactory and unacceptable.' Pillay also called on the new State of South Sudan to respect their international obligations and support efforts to resolve the situation.",-1,0,article discusses expulsion ofhuman rights officer working un mission south sudan officer currently entebbe uganda awaitingdecision status un human rights chief navi pillay urging government south sudan reverse expulsion order stating breach international agreements evidence serious misconduct provided south sudanese authorities accused staff member misinforming international community human rights abuses pillay called accusation utterly unsatisfactory unacceptable pillay also called new state south sudan respect international obligations support efforts resolve situation ,discus expulsion ofhuman right officer working mission south sudan officer currently entebbe uganda awaitingdecision status human right chief navi pillay urging government south sudan reverse expulsion order stating breach international agreement evidence serious misconduct provided south sudanese authority accused staff member misinforming international community human right abuse pillay called accusation utterly unsatisfactory unacceptable pillay also called new state south sudan respect international obligation support effort resolve situation ,"[('discus', 'NN'), ('expulsion', 'NN'), ('ofhuman', 'NN'), ('right', 'JJ'), ('officer', 'NN'), ('working', 'VBG'), ('mission', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('officer', 'NN'), ('currently', 'RB'), ('entebbe', 'VBZ'), ('uganda', 'JJ'), ('awaitingdecision', 'NN'), ('status', 'NN'), ('human', 'JJ'), ('right', 'RB'), ('chief', 'NN'), ('navi', 'JJ'), ('pillay', 'NN'), ('urging', 'JJ'), ('government', 'NN'), ('south', 'RB'), ('sudan', 'JJ'), ('reverse', 'NN'), ('expulsion', 'NN'), ('order', 'NN'), ('stating', 'VBG'), ('breach', 'NN'), ('international', 'JJ'), ('agreement', 'NN'), ('evidence', 'NN'), ('serious', 'JJ'), ('misconduct', 'NN'), ('provided', 'VBD'), ('south', 'JJ'), ('sudanese', 'JJ'), ('authority', 'NN'), ('accused', 'VBD'), ('staff', 'NN'), ('member', 'NN'), ('misinforming', 'VBG'), ('international', 'JJ'), ('community', 'NN'), ('human', 'JJ'), ('right', 'NN'), ('abuse', 'NN'), ('pillay', 'NN'), ('called', 'VBN'), ('accusation', 'NN'), ('utterly', 'RB'), ('unsatisfactory', 'JJ'), ('unacceptable', 'JJ'), ('pillay', 'NN'), ('also', 'RB'), ('called', 'VBD'), ('new', 'JJ'), ('state', 'NN'), ('south', 'JJ'), ('sudan', 'NN'), ('respect', 'VBP'), ('international', 'JJ'), ('obligation', 'NN'), ('support', 'NN'), ('effort', 'NN'), ('resolve', 'NN'), ('situation', 'NN')]",-1.875,Negative
19,5595,"The article discusses the arrival of a half a million US dollars German-made printing machine at the Ministry of General Education and Instruction in Juba, South Sudan. The machine was acquired with funds from the Multi Donor Trust Fund (MTDF) and is expected to be used for printing exams, books and other education materials. The machine's installation has already begun and it is expected to begin operations by January. This will be the second printing press owned by the government in South Sudan.",1,0,article discusses arrival ofhalfmillion us dollars german made printing machine ministry general education instruction juba south sudan machine acquired funds multi donor trust fund mtdf expected used printing exams books education materials machineinstallation already begun expected begin operations january second printing press owned government south sudan ,discus arrival ofhalfmillion dollar german made printing machine ministry general education instruction juba south sudan machine acquired fund multi donor trust fund mtdf expected used printing exam book education material machineinstallation already begun expected begin operation january second printing press owned government south sudan ,"[('discus', 'NN'), ('arrival', 'JJ'), ('ofhalfmillion', 'NN'), ('dollar', 'NN'), ('german', 'JJ'), ('made', 'VBD'), ('printing', 'NN'), ('machine', 'NN'), ('ministry', 'NN'), ('general', 'JJ'), ('education', 'NN'), ('instruction', 'NN'), ('juba', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('machine', 'NN'), ('acquired', 'VBD'), ('fund', 'NN'), ('multi', 'NN'), ('donor', 'JJ'), ('trust', 'NN'), ('fund', 'NN'), ('mtdf', 'NN'), ('expected', 'VBN'), ('used', 'JJ'), ('printing', 'NN'), ('exam', 'JJ'), ('book', 'NN'), ('education', 'NN'), ('material', 'JJ'), ('machineinstallation', 'NN'), ('already', 'RB'), ('begun', 'VBN'), ('expected', 'VBN'), ('begin', 'NN'), ('operation', 'NN'), ('january', 'JJ'), ('second', 'JJ'), ('printing', 'NN'), ('press', 'NN'), ('owned', 'VBD'), ('government', 'NN'), ('south', 'NN'), ('sudan', 'NN')]",0.75,Positive
20,6091,"The article discusses remarks made by Ambassador Susan E. Rice regarding recent agreements between Sudan and South Sudan related to establishing a secure border and joint verification monitoring mechanism. The implementation of these agreements and addressing outstanding issues related to Southern Kordofan, Blue Nile, and Abyei are of great concern to the United States and members of the Security Council. The AU has set dates for talks related to these issues but Khartoum has refused to participate and put additional conditions in place. The U.S. has played a leading role in supporting the negotiation and implementation of these agreements, and will continue to do so. The Security Council meets every two weeks in regards to this issue and passed Resolution 2046 to hold the parties to their obligations.",0,0,article discusses remarks made ambassador susanrice regarding recent agreements sudan south sudan related establishingsecure border joint verification monitoring mechanism implementation agreements addressing outstanding issues related southern kordofan blue nile abyei great concern united states members security council au set dates talks related issues khartoum refused participate put additional conditions place thes playedleading role supporting negotiation implementation agreements continue security council meets every two weeks regards issue passed resolution 2046 hold parties obligations ,discus remark made ambassador susanrice regarding recent agreement sudan south sudan related establishingsecure border joint verification monitoring mechanism implementation agreement addressing outstanding issue related southern kordofan blue nile abyei great concern united state member security council set date talk related issue khartoum refused participate put additional condition place thes playedleading role supporting negotiation implementation agreement continue security council meet every two week regard issue passed resolution hold party obligation ,"[('discus', 'NN'), ('remark', 'NN'), ('made', 'VBD'), ('ambassador', 'JJ'), ('susanrice', 'NN'), ('regarding', 'VBG'), ('recent', 'JJ'), ('agreement', 'NN'), ('sudan', 'NN'), ('south', 'JJ'), ('sudan', 'NN'), ('related', 'VBN'), ('establishingsecure', 'NN'), ('border', 'NN'), ('joint', 'JJ'), ('verification', 'NN'), ('monitoring', 'NN'), ('mechanism', 'NN'), ('implementation', 'NN'), ('agreement', 'NN'), ('addressing', 'VBG'), ('outstanding', 'JJ'), ('issue', 'NN'), ('related', 'VBD'), ('southern', 'JJ'), ('kordofan', 'NN'), ('blue', 'NN'), ('nile', 'JJ'), ('abyei', 'RB'), ('great', 'JJ'), ('concern', 'NN'), ('united', 'JJ'), ('state', 'NN'), ('member', 'NN'), ('security', 'NN'), ('council', 'NN'), ('set', 'VBN'), ('date', 'NN'), ('talk', 'NN'), ('related', 'JJ'), ('issue', 'NN'), ('khartoum', 'NN'), ('refused', 'VBD'), ('participate', 'NN'), ('put', 'VBD'), ('additional', 'JJ'), ('condition', 'NN'), ('place', 'NN'), ('thes', 'NNS'), ('playedleading', 'VBG'), ('role', 'NN'), ('supporting', 'VBG'), ('negotiation', 'JJ'), ('implementation', 'NN'), ('agreement', 'NN'), ('continue', 'VBP'), ('security', 'NN'), ('council', 'NN'), ('meet', 'NN'), ('every', 'DT'), ('two', 'CD'), ('week', 'NN'), ('regard', 'JJ'), ('issue', 'NN'), ('passed', 'VBD'), ('resolution', 'NN'), ('hold', 'NN'), ('party', 'NN'), ('obligation', 'NN')]",2.5,Positive
21,6183,"The article discusses how the Hunt Institute will present Sudanese rapper Emmanual Jal with the 2013 Humanitarian Award for his contribution in highlighting the plight of child soldiers as part of the opening activities of the third annual Engineering & Humanity Week, running from April 6-12. The institute will also present the 2013 Visionary Award to David de Rothschild, an explorer, environmentalist and eternal optimist. The annual event focuses on topics in which engineering can be used to help improve the lives of refugees and other displaced and struggling members of humanity.",0,0,article discusses hunt institute present sudanese rapper emmanual jal 2013 humanitarian award contribution highlighting plight child soldiers part opening activities third annual engineering humanity week running april 6 12 institute also present 2013 visionary award david de rothschild explorer environmentalist eternal optimist annual event focuses topics engineering used help improve lives refugees displaced struggling members humanity ,discus hunt institute present sudanese rapper emmanual jal humanitarian award contribution highlighting plight child soldier part opening activity third annual engineering humanity week running april institute also present visionary award david rothschild explorer environmentalist eternal optimist annual event focus topic engineering used help improve life refugee displaced struggling member humanity ,"[('discus', 'NN'), ('hunt', 'NN'), ('institute', 'NN'), ('present', 'JJ'), ('sudanese', 'JJ'), ('rapper', 'NN'), ('emmanual', 'JJ'), ('jal', 'NN'), ('humanitarian', 'JJ'), ('award', 'NN'), ('contribution', 'NN'), ('highlighting', 'VBG'), ('plight', 'JJ'), ('child', 'NN'), ('soldier', 'RBR'), ('part', 'NN'), ('opening', 'VBG'), ('activity', 'NN'), ('third', 'JJ'), ('annual', 'JJ'), ('engineering', 'NN'), ('humanity', 'NN'), ('week', 'NN'), ('running', 'VBG'), ('april', 'RB'), ('institute', 'NN'), ('also', 'RB'), ('present', 'JJ'), ('visionary', 'JJ'), ('award', 'NN'), ('david', 'NN'), ('rothschild', 'VBP'), ('explorer', 'JJ'), ('environmentalist', 'JJ'), ('eternal', 'JJ'), ('optimist', 'NN'), ('annual', 'JJ'), ('event', 'NN'), ('focus', 'NN'), ('topic', 'NN'), ('engineering', 'NN'), ('used', 'VBN'), ('help', 'NN'), ('improve', 'VB'), ('life', 'NN'), ('refugee', 'NN'), ('displaced', 'VBD'), ('struggling', 'VBG'), ('member', 'NN'), ('humanity', 'NN')]",1.75,Positive
22,6369,"The article discusses the South Sudan Human Rights Society For Advocacy (SSHURSA) condemning the detention of journalists in Juba, urging the Deputy Minister of Interior to stop intimidating the media and resigning, and calling for fair investigations of Banyjioth's murder. SSHURSA analyzes that the behavior of the police under the orders of the Minister to instantly detain the journalists is a clear case of intimidation against the press and misuse of power by persons in positions of authority. The article provides recommendations for various organizations and parties involved in the case.",-1,0,article discusses south sudan human rights society advocacy sshursa condemning detention journalists juba urging deputy minister interior stop intimidating media resigning calling fair investigations banyjiothmurder sshursa analyzes behavior police orders minister instantly detain journalists isclear case intimidation press misuse power persons positions authority article provides recommendations various organizations parties involved case ,discus south sudan human right society advocacy sshursa condemning detention journalist juba urging deputy minister interior stop intimidating medium resigning calling fair investigation banyjiothmurder sshursa analyzes behavior police order minister instantly detain journalist isclear case intimidation press misuse power person position authority article provides recommendation various organization party involved case ,"[('discus', 'NN'), ('south', 'JJ'), ('sudan', 'JJ'), ('human', 'JJ'), ('right', 'NN'), ('society', 'NN'), ('advocacy', 'NN'), ('sshursa', 'VBD'), ('condemning', 'VBG'), ('detention', 'NN'), ('journalist', 'NN'), ('juba', 'NN'), ('urging', 'VBG'), ('deputy', 'JJ'), ('minister', 'NN'), ('interior', 'JJ'), ('stop', 'NN'), ('intimidating', 'VBG'), ('medium', 'NN'), ('resigning', 'VBG'), ('calling', 'VBG'), ('fair', 'JJ'), ('investigation', 'NN'), ('banyjiothmurder', 'NN'), ('sshursa', 'NN'), ('analyzes', 'VBZ'), ('behavior', 'JJ'), ('police', 'NNS'), ('order', 'NN'), ('minister', 'NN'), ('instantly', 'RB'), ('detain', 'JJ'), ('journalist', 'NN'), ('isclear', 'JJ'), ('case', 'NN'), ('intimidation', 'NN'), ('press', 'NN'), ('misuse', 'NN'), ('power', 'NN'), ('person', 'NN'), ('position', 'NN'), ('authority', 'NN'), ('article', 'NN'), ('provides', 'VBZ'), ('recommendation', 'NN'), ('various', 'JJ'), ('organization', 'NN'), ('party', 'NN'), ('involved', 'JJ'), ('case', 'NN')]",0.0,Neutral
